device_group,sensor_package_name,device_query,session_id,stream_id,session_type,sensor_name,measurement_type,unit,raw_time,source_time,time_utc,time_status,value,latitude,longitude,coordinate_source,source_row_index
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860942,FixedSession,AirBeam3-RH,Humidity,%,1770983102000,2026-02-13T11:45:02,,source_clock_unverified,50.0,,,withheld_indoor,5
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860942,FixedSession,AirBeam3-RH,Humidity,%,1770983282000,2026-02-13T11:48:02,,source_clock_unverified,48.0,,,withheld_indoor,6
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860942,FixedSession,AirBeam3-RH,Humidity,%,1770983162000,2026-02-13T11:46:02,,source_clock_unverified,49.0,,,withheld_indoor,7
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860942,FixedSession,AirBeam3-RH,Humidity,%,1770983222000,2026-02-13T11:47:02,,source_clock_unverified,49.0,,,withheld_indoor,8
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860942,FixedSession,AirBeam3-RH,Humidity,%,1770983342000,2026-02-13T11:49:02,,source_clock_unverified,47.0,,,withheld_indoor,9
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860942,FixedSession,AirBeam3-RH,Humidity,%,1770983402000,2026-02-13T11:50:02,,source_clock_unverified,47.0,,,withheld_indoor,10
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860942,FixedSession,AirBeam3-RH,Humidity,%,1770983522000,2026-02-13T11:52:02,,source_clock_unverified,46.0,,,withheld_indoor,11
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860942,FixedSession,AirBeam3-RH,Humidity,%,1770983462000,2026-02-13T11:51:02,,source_clock_unverified,46.0,,,withheld_indoor,12
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860942,FixedSession,AirBeam3-RH,Humidity,%,1770983582000,2026-02-13T11:53:02,,source_clock_unverified,45.0,,,withheld_indoor,13
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860942,FixedSession,AirBeam3-RH,Humidity,%,1770983642000,2026-02-13T11:54:02,,source_clock_unverified,45.0,,,withheld_indoor,14
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860943,FixedSession,AirBeam3-PM1,Particulate Matter,µg/m³,1770982922000,2026-02-13T11:42:02,,source_clock_unverified,0.0,,,withheld_indoor,1
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860943,FixedSession,AirBeam3-PM1,Particulate Matter,µg/m³,1770982884000,2026-02-13T11:41:24,,source_clock_unverified,0.0,,,withheld_indoor,2
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860943,FixedSession,AirBeam3-PM1,Particulate Matter,µg/m³,1770982982000,2026-02-13T11:43:02,,source_clock_unverified,0.0,,,withheld_indoor,3
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860943,FixedSession,AirBeam3-PM1,Particulate Matter,µg/m³,1770983102000,2026-02-13T11:45:02,,source_clock_unverified,0.0,,,withheld_indoor,4
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860943,FixedSession,AirBeam3-PM1,Particulate Matter,µg/m³,1770983042000,2026-02-13T11:44:02,,source_clock_unverified,0.0,,,withheld_indoor,5
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860943,FixedSession,AirBeam3-PM1,Particulate Matter,µg/m³,1770983162000,2026-02-13T11:46:02,,source_clock_unverified,0.0,,,withheld_indoor,6
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860943,FixedSession,AirBeam3-PM1,Particulate Matter,µg/m³,1770983222000,2026-02-13T11:47:02,,source_clock_unverified,0.0,,,withheld_indoor,7
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860943,FixedSession,AirBeam3-PM1,Particulate Matter,µg/m³,1770983282000,2026-02-13T11:48:02,,source_clock_unverified,0.0,,,withheld_indoor,8
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860943,FixedSession,AirBeam3-PM1,Particulate Matter,µg/m³,1770983342000,2026-02-13T11:49:02,,source_clock_unverified,0.0,,,withheld_indoor,9
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860943,FixedSession,AirBeam3-PM1,Particulate Matter,µg/m³,1770983402000,2026-02-13T11:50:02,,source_clock_unverified,0.0,,,withheld_indoor,10
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860943,FixedSession,AirBeam3-PM1,Particulate Matter,µg/m³,1770983462000,2026-02-13T11:51:02,,source_clock_unverified,0.0,,,withheld_indoor,11
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860943,FixedSession,AirBeam3-PM1,Particulate Matter,µg/m³,1770983522000,2026-02-13T11:52:02,,source_clock_unverified,0.0,,,withheld_indoor,12
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860943,FixedSession,AirBeam3-PM1,Particulate Matter,µg/m³,1770983582000,2026-02-13T11:53:02,,source_clock_unverified,0.0,,,withheld_indoor,13
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860943,FixedSession,AirBeam3-PM1,Particulate Matter,µg/m³,1770983642000,2026-02-13T11:54:02,,source_clock_unverified,0.0,,,withheld_indoor,14
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860944,FixedSession,AirBeam3-PM2.5,Particulate Matter,µg/m³,1770982922000,2026-02-13T11:42:02,,source_clock_unverified,0.0,,,withheld_indoor,1
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860944,FixedSession,AirBeam3-PM2.5,Particulate Matter,µg/m³,1770982884000,2026-02-13T11:41:24,,source_clock_unverified,0.0,,,withheld_indoor,2
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860944,FixedSession,AirBeam3-PM2.5,Particulate Matter,µg/m³,1770983042000,2026-02-13T11:44:02,,source_clock_unverified,0.0,,,withheld_indoor,3
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860944,FixedSession,AirBeam3-PM2.5,Particulate Matter,µg/m³,1770982982000,2026-02-13T11:43:02,,source_clock_unverified,0.0,,,withheld_indoor,4
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860944,FixedSession,AirBeam3-PM2.5,Particulate Matter,µg/m³,1770983102000,2026-02-13T11:45:02,,source_clock_unverified,0.0,,,withheld_indoor,5
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860944,FixedSession,AirBeam3-PM2.5,Particulate Matter,µg/m³,1770983162000,2026-02-13T11:46:02,,source_clock_unverified,0.0,,,withheld_indoor,6
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860944,FixedSession,AirBeam3-PM2.5,Particulate Matter,µg/m³,1770983222000,2026-02-13T11:47:02,,source_clock_unverified,0.0,,,withheld_indoor,7
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860944,FixedSession,AirBeam3-PM2.5,Particulate Matter,µg/m³,1770983402000,2026-02-13T11:50:02,,source_clock_unverified,0.0,,,withheld_indoor,8
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860944,FixedSession,AirBeam3-PM2.5,Particulate Matter,µg/m³,1770983282000,2026-02-13T11:48:02,,source_clock_unverified,0.0,,,withheld_indoor,9
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860944,FixedSession,AirBeam3-PM2.5,Particulate Matter,µg/m³,1770983342000,2026-02-13T11:49:02,,source_clock_unverified,0.0,,,withheld_indoor,10
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860944,FixedSession,AirBeam3-PM2.5,Particulate Matter,µg/m³,1770983522000,2026-02-13T11:52:02,,source_clock_unverified,0.0,,,withheld_indoor,11
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860944,FixedSession,AirBeam3-PM2.5,Particulate Matter,µg/m³,1770983462000,2026-02-13T11:51:02,,source_clock_unverified,0.0,,,withheld_indoor,12
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860944,FixedSession,AirBeam3-PM2.5,Particulate Matter,µg/m³,1770983642000,2026-02-13T11:54:02,,source_clock_unverified,0.0,,,withheld_indoor,13
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860944,FixedSession,AirBeam3-PM2.5,Particulate Matter,µg/m³,1770983582000,2026-02-13T11:53:02,,source_clock_unverified,0.0,,,withheld_indoor,14
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860945,FixedSession,AirBeam3-PM10,Particulate Matter,µg/m³,1770982884000,2026-02-13T11:41:24,,source_clock_unverified,0.0,,,withheld_indoor,1
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860945,FixedSession,AirBeam3-PM10,Particulate Matter,µg/m³,1770982982000,2026-02-13T11:43:02,,source_clock_unverified,0.0,,,withheld_indoor,2
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860945,FixedSession,AirBeam3-PM10,Particulate Matter,µg/m³,1770983042000,2026-02-13T11:44:02,,source_clock_unverified,0.0,,,withheld_indoor,3
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860945,FixedSession,AirBeam3-PM10,Particulate Matter,µg/m³,1770982922000,2026-02-13T11:42:02,,source_clock_unverified,0.0,,,withheld_indoor,4
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860945,FixedSession,AirBeam3-PM10,Particulate Matter,µg/m³,1770983102000,2026-02-13T11:45:02,,source_clock_unverified,0.0,,,withheld_indoor,5
